Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Number of Males,Number of Females,Average Age,Local Authority
6191325,429858,432972,2,9/1/2019,17:33,Unclassified,Dry,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Slight,1,0,39,E08000035
6191450,426664,431789,2,9/1/2019,17:15,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,29,E08000035
61A0359,435931,436473,2,10/1/2019,8:30,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,26,E08000035
61A0359,435931,436473,2,10/1/2019,8:30,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,2,26,E08000035
61A0620,431468,432543,2,10/1/2019,12:00,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,2,30,E08000035
61A0620,431468,432543,2,10/1/2019,12:00,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,30,E08000035
61A0698,418989,444837,2,10/1/2019,12:31,Non - Primary Road,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,0,1,20,E08000035
61A1192,419724,437029,2,10/1/2019,16:40,Unclassified,Dry,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Serious,1,0,43,E08000035
61B1470,429705,431847,2,11/1/2019,18:07,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,73,E08000035
61B2042,429392,431357,2,11/1/2019,22:30,Unclassified,Dry,Dark (lit street),Fine,Motorcycle(50cc or less),Driver/Rider,Serious,1,0,17,E08000035
61C1047,431234,435814,2,12/1/2019,15:29,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,32,E08000035
61C1318,430836,435427,2,12/1/2019,17:10,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,2,22,E08000035
61C1318,430836,435427,2,12/1/2019,17:10,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,0,2,22,E08000035
61C1383,428934,429852,2,12/1/2019,18:45,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,1,1,40,E08000035
61C1383,428934,429852,2,12/1/2019,18:45,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,40,E08000035
61D1077,424551,433074,2,13/1/2019,15:30,Unclassified,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,0,1,37,E08000035
61D1464,428628,433188,2,13/1/2019,19:10,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,38,E08000035
61E0235,420559,437109,2,14/1/2019,7:44,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,0,2,44,E08000035
61E0235,420559,437109,2,14/1/2019,7:44,Non - Primary Road,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,0,2,44,E08000035
61E0807,422203,433911,1,16/1/2019,13:31,Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,67,E08000035
61E1326,430480,433823,1,14/1/2019,17:30,Unclassified,Dry,Dark (lit street),Fine,Car,Pedestrian,Serious,1,0,34,E08000035
61E1647,419782,434064,2,14/1/2019,20:20,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,26,E08000035
61F0040,431120,430172,1,14/1/2019,22:50,Unclassified,Dry,Dark (lit street),Fine,Taxi/Private car,Vehicle Passenger,Slight,0,1,23,E08000035
61F0342,429482,431195,1,16/1/2019,8:47,Unclassified,Wet/Damp,Daylight,Fine,Car,Pedestrian,Slight,0,1,10,E08000035
61F1055,431908,437322,3,15/1/2019,15:03,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,46,E08000035
61F1055,431908,437322,3,15/1/2019,15:03,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,46,E08000035
61F1155,428513,433058,2,15/1/2019,15:45,Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,29,E08000035
61F1513,431131,431414,2,15/1/2019,18:42,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Serious,2,1,60,E08000035
61F1513,431131,431414,2,15/1/2019,18:42,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Serious,2,1,60,E08000035
61F1513,431131,431414,2,15/1/2019,18:42,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Serious,2,1,60,E08000035
61F1644,428249,434452,2,15/1/2019,19:40,Unclassified,Dry,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,0,1,33,E08000035
61F1668,427457,435882,2,15/1/2019,19:50,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,20,E08000035
61G0289,426144,437228,2,16/1/2019,8:00,Unclassified,Wet/Damp,Daylight,Raining,Car,Driver/Rider,Slight,0,1,38,E08000035
61G0325,431269,445730,2,16/1/2019,8:30,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,0,56,E08000035
61G0325,431269,445730,2,16/1/2019,8:30,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,0,56,E08000035
61G1338,430088,431277,2,16/1/2019,17:55,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,27,E08000035
61G1474,430067,434407,2,16/1/2019,19:07,Primary Motorway,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,28,E08000035
61H1015,432212,434654,1,17/1/2019,16:08,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,11,E08000035
61H1225,429203,433634,2,16/1/2019,21:00,Non - Primary Road,Dry,Unknown,Fine,Car,Driver/Rider,Serious,0,1,57,E08000035
61H1302,434842,428545,2,17/1/2019,18:18,Unclassified,Dry,Dark (lit street),Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,25,E08000035
61I0299,428670,432833,1,18/1/2019,8:15,Unclassified,Wet/Damp,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,17,E08000035
61I0315,426901,439315,2,18/1/2019,8:29,Non - Primary Road,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,35,E08000035
61I0341,436909,433709,1,18/1/2019,8:50,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Serious,1,0,81,E08000035
61I1036,433450,434055,1,18/1/2019,15:34,Non - Primary Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,12,E08000035
61I1506,431037,428655,1,18/1/2019,19:10,Unclassified,Wet/Damp,Dark (lit street),Snowing,Car,Driver/Rider,Slight,1,0,46,E08000035
61I1984,442987,431602,1,18/1/2019,23:55,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Serious,1,0,30,E08000035
61J0921,434471,434398,1,19/1/2019,14:15,Non - Primary Road,Wet/Damp,Daylight,Fine,Bus(17 or more passenger seats),Pedestrian,Serious,0,1,12,E08000035
61J0998,420364,444894,1,19/1/2019,14:50,Unclassified,Wet/Damp,Daylight,Other,Car,Pedestrian,Slight,0,1,49,E08000035
61J1143,426284,435584,2,19/1/2019,16:16,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,72,E08000035
61J1508,429902,436616,2,19/1/2019,19:20,Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,76,E08000035
61J1842,428969,435476,1,19/1/2019,22:35,Unclassified,Dry,Dark (lit street),Fine,Car,Pedestrian,Serious,0,1,27,E08000035
61L0225,432961,429594,1,21/1/2019,7:05,Motorway,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,78,E08000035
61L0311,431568,433623,5,21/1/2019,8:39,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,0,58,E08000035
61L0311,431568,433623,5,21/1/2019,8:39,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,2,0,58,E08000035
61L0651,425031,425763,2,21/1/2019,12:10,Unclassified,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Serious,2,0,21,E08000035
61L0651,425031,425763,2,21/1/2019,12:10,Unclassified,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,2,0,21,E08000035
61L1015,430178,433925,1,21/1/2019,15:15,Unclassified,Dry,Daylight,Fine,Goods Vehicle(3.5-7.5 tonnes mgw),Pedestrian,Serious,1,0,81,E08000035
61L1638,434620,438143,1,21/1/2019,20:24,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,57,E08000035
61M0231,425374,435317,1,22/1/2019,7:25,Unclassified,Frost/Ice,Dark (lit street),Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,20,E08000035
61M0505,429944,425105,1,22/1/2019,11:05,Unclassified,Dry,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,0,1,39,E08000035
61M0884,431467,430207,2,22/1/2019,14:50,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,36,E08000035
61M0965,432686,435009,1,22/1/2019,15:28,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,10,E08000035
61M1029,440330,449423,2,22/1/2019,16:00,Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,11,E08000035
61M1203,427616,434515,2,22/1/2019,15:55,Non - Primary Road,Wet/Damp,Daylight,Fine,Motorcycle(50cc-125cc),Driver/Rider,Slight,1,0,34,E08000035
61N0345,440756,445994,2,23/1/2019,9:45,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,30,E08000035
61N0345,440756,445994,2,23/1/2019,9:45,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,30,E08000035
61N0516,429085,430838,2,23/1/2019,14:20,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,32,E08000035
61N0719,430266,433741,2,23/1/2019,12:40,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,30,E08000035
61N0729,430241,437021,2,23/1/2019,13:05,Unclassified,Wet/Damp,Daylight,Fine,Car,Driver/Rider,Slight,1,1,48,E08000035
61N0729,430241,437021,2,23/1/2019,13:05,Unclassified,Wet/Damp,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,48,E08000035
61N0870,440388,433288,1,23/1/2019,14:23,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Fatal,0,1,70,E08000035
61N1130,429224,439710,2,23/1/2019,16:30,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,51,E08000035
61N1454,427536,434491,2,23/1/2019,19:01,Unclassified,Wet/Damp,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Fatal,1,0,46,E08000035
61N1909,429958,432509,2,22/1/2019,22:56,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,24,E08000035
61O0148,420465,440180,2,25/1/2019,6:30,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,33,E08000035
61O0148,420465,440180,2,25/1/2019,6:30,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Taxi/Private car,Driver/Rider,Slight,1,1,33,E08000035
61O0169,426361,433366,2,24/1/2019,6:58,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,2,3,21,E08000035
61O0169,426361,433366,2,24/1/2019,6:58,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,2,3,21,E08000035
61O0169,426361,433366,2,24/1/2019,6:58,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,2,3,21,E08000035
61O0169,426361,433366,2,24/1/2019,6:58,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,2,3,21,E08000035
61O0169,426361,433366,2,24/1/2019,6:58,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,2,3,21,E08000035
61O0586,428963,435460,2,23/1/2019,23:20,Non - Primary Road,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,56,E08000035
61O1189,431536,430548,3,24/1/2019,17:07,Motorway,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,24,E08000035
61O1189,431536,430548,3,24/1/2019,17:07,Motorway,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,24,E08000035
61O1383,427399,433352,1,24/1/2019,18:31,Unclassified,Wet/Damp,Dark (lit street),Raining,Car,Pedestrian,Slight,0,1,10,E08000035
61P0260,429600,434248,1,25/1/2019,7:33,Unclassified,Dry,Dark (unknown lighting),Fine,Car,Pedestrian,Slight,0,1,51,E08000035
61P0284,426992,437455,2,25/1/2019,7:51,Non - Primary Road,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,0,1,31,E08000035
61P0375,422310,443627,2,25/1/2019,8:55,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Serious,0,1,28,E08000035
61P0727,436590,433969,2,25/1/2019,12:15,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,47,E08000035
61P0727,436590,433969,2,25/1/2019,12:15,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,47,E08000035
61P0938,424562,435641,2,25/1/2019,13:50,Unclassified,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,17,E08000035
61P1065,426347,427606,2,25/1/2019,14:15,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,60,E08000035
61P1083,430743,434737,2,25/1/2019,14:40,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,33,E08000035
61P1527,431726,432862,2,25/1/2019,18:10,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,45,E08000035
61P1546,429774,430608,3,25/1/2019,18:32,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,33,E08000035
61P1546,429774,430608,3,25/1/2019,18:32,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,1,33,E08000035
61P1724,428523,432066,3,25/1/2019,19:50,Non - Primary Road,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,24,E08000035
61P1871,430351,438561,2,25/1/2019,21:05,Non - Primary Road,Dry,Dark (unlit street),Fine,Car,Driver/Rider,Slight,0,1,54,E08000035
61Q0322,430319,433871,2,26/1/2019,4:50,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,47,E08000035
61Q0348,431103,434602,2,26/1/2019,5:25,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,3,2,31,E08000035
61Q0348,431103,434602,2,26/1/2019,5:25,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,3,2,31,E08000035
61Q0348,431103,434602,2,26/1/2019,5:25,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,3,2,31,E08000035
61Q0348,431103,434602,2,26/1/2019,5:25,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,3,2,31,E08000035
61Q0348,431103,434602,2,26/1/2019,5:25,Unclassified,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,3,2,31,E08000035
61R0177,430101,432870,2,27/1/2019,2:05,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,47,E08000035
61R1276,432458,433330,1,27/1/2019,16:10,Unclassified,Dry,Daylight,Fine,Taxi/Private car,Vehicle Passenger,Slight,0,1,24,E08000035
61R1567,431832,434992,2,27/1/2019,4:00,Unclassified,Dry,Unknown,Fine,Car,Vehicle Passenger,Slight,0,2,18,E08000035
61R1567,431832,434992,2,27/1/2019,4:00,Unclassified,Dry,Unknown,Fine,Car,Vehicle Passenger,Slight,0,2,18,E08000035
61S0192,429038,429932,2,28/1/2019,5:25,Unclassified,Wet/Damp,Dark (lit street),Fine,Motorcycle(500cc or more),Driver/Rider,Serious,1,0,53,E08000035
61S0238,433318,441770,2,28/1/2019,7:20,Unclassified,Frost/Ice,Daylight,Fine,Car,Driver/Rider,Slight,0,1,22,E08000035
61S0313,426234,438111,2,28/1/2019,8:35,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,46,E08000035
61S0313,426234,438111,2,28/1/2019,8:35,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,46,E08000035
61S0524,431422,434086,1,28/1/2019,10:15,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,0,15,E08000035
61S1446,428503,426411,3,28/1/2019,18:20,Motorway,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,3,0,34,E08000035
61S1446,428503,426411,3,28/1/2019,18:20,Motorway,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,3,0,34,E08000035
61S1446,428503,426411,3,28/1/2019,18:20,Motorway,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,3,0,34,E08000035
61S1539,428396,428922,2,28/1/2019,15:20,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,47,E08000035
61S1877,431715,434630,1,28/1/2019,16:00,Unclassified,Dry,Daylight,Fine,Taxi/Private car,Pedestrian,Slight,0,1,62,E08000035
61T0506,442100,434633,2,29/1/2019,10:45,Non - Primary Road,Wet/Damp,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,74,E08000035
61T1072,429144,432009,1,29/1/2019,15:37,Unclassified,Wet/Damp,Daylight,Fine,Car,Pedestrian,Slight,0,1,4,E08000035
61T1631,425353,435934,2,29/1/2019,20:31,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,2,38,E08000035
61T1631,425353,435934,2,29/1/2019,20:31,Unclassified,Dry,Dark (lit street),Fine,Car,Pedestrian,Slight,0,2,38,E08000035
61U0792,423620,440616,1,30/1/2019,9:09,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,1,42,E08000035
61U0792,423620,440616,1,30/1/2019,9:09,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,1,1,42,E08000035
61U1035,433087,435615,2,30/1/2019,16:12,Unclassified,Dry,Daylight,Fine,Mobility Scooter,Driver/Rider,Slight,0,1,11,E08000035
61U1069,424127,428193,3,30/1/2019,16:30,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,0,45,E08000035
61U1079,430285,434323,3,30/1/2019,16:30,Primary Motorway,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,28,E08000035
61U1275,432052,425605,2,30/1/2019,18:00,Motorway,Wet/Damp,Dark (lit street),Fine,Car,Driver/Rider,Slight,1,0,51,E08000035
61V1358,420894,434451,2,31/1/2019,11:45,Non - Primary Road,Frost/Ice,Daylight,Fine,Car,Driver/Rider,Slight,0,1,39,E08000035
6210373,417424,441806,2,1/2/2019,9:00,Unclassified,Snow,Daylight,Snowing,Car,Driver/Rider,Slight,1,0,72,E08000035
6210696,434169,436127,4,1/2/2019,12:25,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,58,E08000035
6210696,434169,436127,4,1/2/2019,12:25,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,58,E08000035
6211450,433113,434027,2,1/2/2019,18:07,Road,Wet/Damp,Dark (lit street),Fine,Car,Vehicle Passenger,Slight,0,1,22,E08000035
6211469,428539,434634,2,31/1/2019,19:00,Unclassified,Dry,Dark (lit street),Fine,Car,Driver/Rider,Slight,0,1,27,E08000035
6220559,421481,434418,2,2/2/2019,10:20,Road,Snow,Daylight,Fine,Car,Driver/Rider,Slight,1,0,35,E08000035
6220569,431082,433729,2,2/2/2019,10:33,Primary Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Fatal,1,2,66,E08000035
6220569,431082,433729,2,2/2/2019,10:33,Primary Motorway,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,2,66,E08000035
6220569,431082,433729,2,2/2/2019,10:33,Primary Motorway,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,2,66,E08000035
6220595,426901,439315,2,2/2/2019,10:50,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,36,E08000035
6220595,426901,439315,2,2/2/2019,10:50,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,36,E08000035
6220919,426512,427195,2,1/2/2019,12:30,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,2,25,E08000035
6220919,426512,427195,2,1/2/2019,12:30,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,2,25,E08000035
6221139,425552,427914,2,2/2/2019,15:52,Non - Primary Road,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,0,1,33,E08000035
6221250,427448,432585,1,2/2/2019,16:40,Unclassified,Wet/Damp,Daylight,Fine,Car,Pedestrian,Serious,1,0,63,E08000035
6221971,432631,434576,1,2/2/2019,22:54,Unclassified,Frost/Ice,Dark (lit street),Fine,Car,Pedestrian,Slight,1,0,43,E08000035
6221994,426929,429269,3,2/2/2019,23:05,Non - Primary Road,Frost/Ice,Dark (lit street),Fine,Car,Vehicle Passenger,Serious,1,0,21,E08000035
6222008,429991,434152,2,2/2/2019,23:14,Unclassified,Wet/Damp,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Slight,1,0,27,E08000035
6230571,436022,434828,1,2/2/2019,20:10,Unclassified,Frost/Ice,Dark (lit street),Fine,Car,Pedestrian,Serious,1,0,16,E08000035
6240642,430787,433346,2,4/2/2019,12:03,Non - Primary Road,Dry,Daylight,Fine,Taxi/Private car,Driver/Rider,Slight,2,2,40,E08000035
6240642,430787,433346,2,4/2/2019,12:03,Non - Primary Road,Dry,Daylight,Fine,Taxi/Private car,Vehicle Passenger,Slight,2,2,40,E08000035
